city,lat,lng,max temperature,humidity,cloudiness,wind speed,country,date
dhaka,23.7861979,90.4026151,82.38,78.0,40.0,4.61,BD,1659133497.0
kodiak,57.79,-152.4072222,56.71,88.0,100.0,10.36,US,1659133258.0
dikson,73.5083894,80.5123816,40.98,96.0,100.0,16.42,RU,1659133498.0
luwuk,-0.9528231,122.7880198,75.42,94.0,99.0,3.98,ID,1659133498.0
port alfred,-33.5981844,26.8914772,59.22,79.0,15.0,12.71,ZA,1659133499.0
ushuaia,-54.806115899999995,-68.3184972880496,38.89,56.0,100.0,23.02,AR,1659133499.0
albany,42.6511674,-73.754968,88.56,48.0,20.0,12.66,US,1659132911.0
rikitea,-23.1229544,-134.9680141,73.2,72.0,9.0,18.7,PF,1659133500.0
vaitupu,-7.4769458,178.6807836433052,82.26,73.0,94.0,18.88,TV,1659133500.0
mahebourg,-20.4111041,57.7060616,68.38,88.0,40.0,17.27,MU,1659133501.0
magrath,49.4203199,-112.863749,87.53,42.0,59.0,3.44,CA,1659133501.0
lodja,-3.5241628,23.5995098,72.21,72.0,77.0,3.2,CD,1659133501.0
arraial do cabo,-22.9662839,-42.024427,66.09,88.0,100.0,13.8,BR,1659133502.0
rivera,-30.900058,-55.5408151,47.66,76.0,0.0,6.15,UY,1659133503.0
luanda,-8.8272699,13.2439512,69.84,88.0,75.0,6.91,AO,1659133503.0
punta arenas,-53.1625688,-70.907822,39.49,81.0,40.0,35.68,CL,1659133504.0
carnarvon,-24.8826131,113.6576486,63.91,78.0,99.0,18.39,AU,1659133504.0
puerto ayora,-0.7471674,-90.3134198,77.61,92.0,86.0,8.01,EC,1659133505.0
caravelas,-17.7296514,-39.2660082,73.13,80.0,36.0,10.92,BR,1659133505.0
nanortalik,60.1400246,-45.2428523,46.22,84.0,98.0,11.92,GL,1659133505.0
tambura,15.0987165,74.9296219,73.83,93.0,87.0,2.71,IN,1659133506.0
vaini,-21.1925671,-175.1772797,79.09,89.0,40.0,13.8,TO,1659133506.0
leningradskiy,54.129108,79.236702,62.6,86.0,33.0,11.41,RU,1659133507.0
asau,46.4388969,26.4008405,65.28,89.0,95.0,3.29,RO,1659133507.0
hobart,-42.8825088,147.3281233,41.02,87.0,20.0,6.91,AU,1659133338.0
butaritari,2.9205375,172.91886331442205,82.15,74.0,4.0,14.56,KI,1659133508.0
roald,62.5838286,6.1241844,58.91,93.0,40.0,2.3,NO,1659133509.0
barrow,71.2905556,-156.788611,37.42,87.0,100.0,5.75,US,1659133509.0
nikolskoye,59.7034799,30.7861084,60.8,91.0,99.0,8.41,RU,1659133447.0
mount isa,-20.7289898,139.4931522,58.86,41.0,4.0,9.22,AU,1659133510.0
